Number ID,Locus ID,Gold Standard,ETR1-dependent,,
1,245098_2G40940,Y,Y,Y = yes,
2,245112_2G41540,n,n,n = no,
3,245151_2G47550,Y,n,,
4,245208_5G12330,n,Y,,
5,245244_1G44350,n,n,,
6,245277_4G15550,Y,n,,
7,245546_4G15290,Y,n,,
8,245561_4G15500,n,n,,
9,245584_4G14940,n,n,,
10,245612_4G14440,n,n,,
11,245674_1G56680,n,n,,
12,245677_1G56660,n,n,,
13,245790_1G32200,n,n,,
14,245792_1G32100,n,n,,
15,245838_1G58410,n,n,,
16,245859_5G28290,n,n,,
17,245879_5G09420,n,n,,
18,245888_5G09450,n,n,,
19,245889_5G09480,n,n,,
20,245903_5G11100,n,n,,
21,245904_5G11110,n,n,,
22,245951_5G19550,n,n,,
23,245990_5G20640,n,n,,
24,245998_5G20830,n,n,,
25,246030_5G21105,n,n,,
26,246067_5G19410,n,n,,
27,246138_5G19870,n,n,,
28,246222_4G36900,n,n,,
29,246235_4G36830,n,n,,
30,246389_1G77380,Y,n,,
31,246425_5G17420,n,n,,
32,246440_5G17650,n,n,,
33,246477_5G16770,n,n,,
34,246511_5G15490,n,n,,
35,246512_5G15630,n,n,,
36,246591_5G14880,n,n,,
37,246701_5G28020,n,n,,
38,246827_5G26330,n,n,,
39,246850_5G26860,n,n,,
40,246935_5G25350,Y,n,,
41,246936_5G25360,n,n,,
42,246943_5G25440,n,n,,
43,247025_5G67030,n,n,,
44,247072_5G66490,n,n,,
45,247091_5G66390,n,Y,,
46,247109_5G65870,n,n,,
47,247170_5G65530,n,n,,
48,247214_5G64850,n,n,,
49,247268_5G64080,n,n,,
50,247288_5G64330,n,n,,
51,247297_5G64100,n,n,,
52,247304_5G63850,n,n,,
53,247337_5G63660,n,Y,,
54,247407_5G62900,n,n,,
55,247604_5G60950,n,n,,
56,247638_5G60490,n,Y,,
57,247648_5G60020,n,n,,
58,247679_5G59540,n,Y,,
59,247706_5G59480,n,n,,
60,247720_5G59290,n,n,,
61,247739_5G59240,n,n,,
62,247751_5G59050,n,n,,
63,247755_5G59090,n,n,,
64,247775_5G58690,n,n,,
65,247778_5G58750,n,n,,
66,247867_5G57630,n,n,,
67,247888_5G57920,Y,n,,
68,247903_5G57340,n,Y,,
69,247931_5G57040,n,n,,
70,247989_5G56350,n,n,,
71,248042_5G55960,n,n,,
72,248101_5G55200,n,n,,
73,248121_5G54690,n,n,,
74,248146_5G54940,n,n,,
75,248163_5G54510,n,n,,
76,248164_5G54490,n,n,,
77,248248_5G53120,n,n,,
78,248276_5G53550,n,Y,,
79,248302_5G53160,n,n,,
80,248382_5G51890,n,n,,
81,248621_5G49350,n,n,,
82,248750_5G47530,n,n,,
83,248761_5G47635,n,n,,
84,248796_5G47180,n,n,,
85,248928_5G45970,n,n,,
86,248968_5G45280,n,n,,
87,249032_5G44910,n,n,,
88,249037_5G44130,n,n,,
